Date,Open,High,Low,Close,Adj Close,Volume
2023-02-24,23943.0,24133.0,22812.5,23176.5,23176.5,533120000
2023-02-25,23176.5,23200.0,22755.0,23154.5,23154.5,254887900
2023-02-26,23154.5,23687.5,23052.0,23548.5,23548.5,312601100
2023-02-27,23548.5,23892.5,23108.0,23479.5,23479.5,398517000
2023-02-28,23479.5,23596.0,23012.0,23130.5,23130.5,294114100
2023-03-01,23130.5,24014.5,23017.0,23630.0,23630.0,419496300
2023-03-02,23630.0,23790.0,23187.0,23453.5,23453.5,309853900
2023-03-03,23453.5,23463.0,21818.0,22351.0,22351.0,511627100
2023-03-04,22351.0,22400.0,22150.0,22338.0,22338.0,156580400
2023-03-05,22338.0,22661.5,22180.5,22419.0,22419.0,284998300
2023-03-06,22419.0,22598.0,22248.0,22396.0,22396.0,292144100
2023-03-07,22396.0,22555.5,21900.0,22187.5,22187.5,429357100
2023-03-08,22187.5,22270.0,21560.5,21683.5,21683.5,414360200
2023-03-09,21683.5,21818.0,20022.5,20347.5,20347.5,641078900
2023-03-10,20347.5,20345.5,19550.0,20186.5,20186.5,623575400
2023-03-11,20186.5,20851.5,19847.0,20606.0,20606.0,481679000
2023-03-12,20606.0,22322.0,20443.5,22179.5,22179.5,615807400
2023-03-13,22179.5,24600.0,21872.0,24194.0,24194.0,965438900
2023-03-14,24194.0,26675.0,23977.5,24733.5,24733.5,1065850300
2023-03-15,24733.5,25299.5,23874.0,24344.5,24344.5,708304900
2023-03-16,24344.5,25238.5,24182.0,25031.5,25031.5,481943600
2023-03-17,25031.5,27823.0,24928.0,27437.0,27437.0,784315500
2023-03-18,27437.0,27774.5,26625.0,26966.0,26966.0,467596200
2023-03-19,26966.0,28450.0,26878.0,28015.5,28015.5,502904300
2023-03-20,28015.5,28557.0,27183.0,27790.5,27790.5,722484600
2023-03-21,27790.5,28517.5,27367.0,28161.5,28161.5,500841600
2023-03-22,28161.5,28938.0,26573.0,27290.5,27290.5,807153800
2023-03-23,27290.5,28878.5,25600.0,28330.0,28330.0,723157100
2023-03-24,28330.0,28413.5,26961.0,27477.5,27477.5,641122900
2023-03-25,27477.5,27888.0,27158.0,27477.0,27477.0,381711500
2023-03-26,27477.0,28244.0,27433.5,27980.0,27980.0,331883700
2023-03-27,27980.0,28029.0,26480.0,27134.5,27134.5,503679500
2023-03-28,27134.5,27514.0,26602.0,27252.0,27252.0,490211400
2023-03-29,27252.0,28659.5,27236.5,28351.5,28351.5,548913100
2023-03-30,28351.5,29197.0,27678.5,28017.0,28017.0,548321500
2023-03-31,28017.0,28656.5,27479.0,28462.5,28462.5,508267900
2023-04-01,28462.5,28823.5,28210.5,28450.0,28450.0,218615100
2023-04-02,28450.0,28537.0,27839.5,28160.0,28160.0,287627500
2023-04-03,28160.0,28534.0,27198.5,27795.0,27795.0,632489600
2023-04-04,27795.0,28465.5,27652.5,28155.0,28155.0,410682600
2023-04-05,28155.0,28789.0,27780.0,28162.0,28162.0,449348900
2023-04-06,28162.0,28183.5,27678.0,28022.0,28022.0,327514800
2023-04-07,28022.0,28100.0,27772.0,27899.0,27899.0,217543700
2023-04-08,27899.0,28170.5,27864.0,27937.5,27937.5,156139500
2023-04-09,27937.5,28538.5,27717.5,28325.5,28325.5,261785700
2023-04-10,28325.5,29856.0,28165.0,29659.0,29659.0,501955100
2023-04-11,29659.0,30580.0,29622.0,30223.0,30223.0,443289000
2023-04-12,30223.0,30497.5,29659.0,29902.5,29902.5,454636700
2023-04-13,29902.5,30637.0,29867.5,30387.0,30387.0,336904700
2023-04-14,30387.0,31059.0,29988.0,30465.0,30465.0,480902000
2023-04-15,30465.0,30599.5,30230.0,30299.5,30299.5,201858800
2023-04-16,30299.5,30584.0,30125.0,30324.5,30324.5,234297900
2023-04-17,30324.5,30334.0,29229.0,29424.5,29424.5,466949100
2023-04-18,29424.5,30489.5,29100.0,30375.5,30375.5,462557700
2023-04-19,30375.5,30408.0,28518.5,28784.0,28784.0,650214600
2023-04-20,28784.0,29090.0,27962.5,28230.0,28230.0,502996300
2023-04-21,28230.0,28353.0,27100.0,27261.0,27261.0,534526600
2023-04-22,27261.0,27874.0,27137.5,27805.0,27805.0,295027200
2023-04-23,27805.0,27808.0,27299.0,27577.0,27577.0,325014300
2023-04-24,27577.0,27996.0,26900.5,27488.5,27488.5,520053400
2023-04-25,27488.5,28392.0,27190.5,28283.5,28283.5,419102600
2023-04-26,28283.5,30041.0,27182.5,28407.5,28407.5,1044757600
2023-04-27,28407.5,29901.5,28374.0,29463.5,29463.5,640016300
2023-04-28,29463.5,29582.5,28895.0,29311.5,29311.5,401166400
2023-04-29,29311.5,29453.0,29036.5,29230.5,29230.5,177500800
2023-04-30,29230.5,29978.0,29105.0,29242.0,29242.0,422248900
2023-05-01,29242.0,29333.0,27610.0,28063.5,28063.5,664932900
2023-05-02,28063.5,28921.5,27866.5,28679.0,28679.0,509040100
2023-05-03,28679.0,29278.5,28090.0,29044.5,29044.5,717253600
2023-05-04,29044.5,29400.0,28670.5,28844.0,28844.0,494628200
2023-05-05,28844.0,29710.0,28701.5,29524.5,29524.5,531717200
2023-05-06,29524.5,29869.0,28363.5,28906.5,28906.5,461751000
2023-05-07,28906.5,29210.0,28465.5,28497.0,28497.0,413980400
2023-05-08,28497.0,28690.0,27325.0,27756.5,27756.5,811958500
2023-05-09,27756.5,27889.5,27387.0,27627.0,27627.0,511973600
2023-05-10,27627.0,28322.0,26741.0,27597.5,27597.5,802247300
2023-05-11,27597.5,27627.5,26695.5,26969.0,26969.0,526924800
2023-05-12,26969.0,27089.5,25800.0,26782.0,26782.0,615742400
2023-05-13,26782.0,27044.5,26680.5,26768.0,26768.0,240408200
2023-05-14,26768.0,27222.0,26550.0,26921.0,26921.0,321416200
2023-05-15,26921.0,27675.0,26688.0,27154.0,27154.0,485350400
